mz,istop40
mz__107,TRUE
mz__135,TRUE
mz__91,TRUE
mz__79,TRUE
mz__77,TRUE
mz__105,TRUE
mz__67,TRUE
mz__73,TRUE
mz__45,TRUE
mz__57,TRUE
mz__43,TRUE
mz__55,TRUE
mz__41,TRUE
mz__81,TRUE
mz__69,TRUE
mz__103,TRUE
mz__145,TRUE
mz__74,TRUE
mz__217,TRUE
mz__147,TRUE
mz__117,TRUE
mz__189,TRUE
mz__204,TRUE
mz__83,TRUE
mz__129,TRUE
mz__75,TRUE
mz__95,TRUE
mz__121,TRUE
mz__93,TRUE
mz__119,TRUE
mz__109,TRUE
mz__92,TRUE
mz__132,TRUE
mz__131,TRUE
mz__113,TRUE
mz__71,TRUE
mz__85,TRUE
mz__111,TRUE
mz__99,TRUE
mz__56,TRUE
